,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
162,30002,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
163,30002,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
164,30003,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
165,30003,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
166,30004,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
167,30004,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
168,30005,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
169,30005,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
170,30006,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
171,30006,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
172,30007,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
173,30007,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
174,30008,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
175,30008,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
176,30009,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
177,30009,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
178,30010,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
179,30010,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
180,30011,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
181,30011,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
182,30012,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
183,30012,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
184,30013,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
185,30013,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
186,30014,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
187,30014,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
188,30015,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
189,30015,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
190,30016,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
191,30016,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
192,30017,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
193,30017,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
194,30018,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
195,30018,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
196,30019,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
197,30019,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
198,30021,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
199,30021,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
200,30022,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
201,30022,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
202,30023,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
203,30023,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
204,30024,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
205,30024,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
206,30025,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
207,30025,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
208,30026,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
209,30026,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
210,30028,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
211,30028,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
212,30029,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
213,30029,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
214,30030,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
215,30030,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
216,30031,12060.0,"Atlanta-Sandy Springs-Roswell, GA",All Occupations,total,"2,682,910",1000.0,1.0,"52,750","39,080"
217,30031,12060.0,"Atlanta-Sandy Springs-Roswell, GA",Computer and Mathematical Occupations,major,"123,340",45.971,1.52,"91,220","87,780"
