,zip,latitude,longitude,median_sale_price,percent_change_home_price,parent_metro_region,total_stores,occupation,total_employment,jobs_per_1000,annual_mean_salary,annual_median_salary,city_year,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
104,30110,33.744459,-85.135938,254500.0,-0.0373857707645579,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
105,30113,33.850746,-85.205308,150558.13953488372,-0.4370180992901653,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
106,30114,34.247838,-84.524468,355357.375,-0.0209257163019101,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
107,30115,34.204092,-84.400462,242454.54545454544,-0.3650686248525385,"Atlanta, GA",4.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
108,30117,33.581851,-85.132439,190200.0,-0.2822411175599607,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
109,30120,34.167879,-84.852014,185250.0,-0.3413890306432408,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
110,30126,33.815025,-84.553831,82548.07692307694,-0.8121524813254137,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
111,30127,33.874556,-84.694713,277800.0,-0.2249476826491044,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
112,30132,33.988832,-84.858967,350000.0,0.0144927536231884,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
113,30134,33.777518,-84.781392,89559.375,-0.7803209668464466,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
114,30135,33.67052,-84.73428,206083.3333333333,-0.2824879121537024,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
115,30137,34.126177,-84.761354,114888.88888888888,-0.5810770603986909,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
