,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
156,27616,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
157,27616,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
158,27616,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
159,27617,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
160,27617,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
161,27617,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
162,27619,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
163,27619,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
164,27619,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
165,27620,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
166,27620,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
167,27620,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
168,27621,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
169,27621,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
170,27621,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
171,27622,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
172,27622,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
173,27622,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
174,27623,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
175,27623,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
176,27623,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
177,27624,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
178,27624,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
179,27624,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
180,27625,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
181,27625,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
182,27625,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
183,27626,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
184,27626,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
185,27626,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
186,27627,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
187,27627,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
188,27627,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
189,27628,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
190,27628,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
191,27628,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
192,27629,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
193,27629,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
194,27629,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
195,27634,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
196,27634,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
197,27634,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
198,27635,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
199,27635,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
200,27635,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
201,27636,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
202,27636,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
203,27636,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
204,27640,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
205,27640,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
206,27640,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
207,27650,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
208,27650,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
209,27650,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
210,27656,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
211,27656,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
212,27656,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
213,27658,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
214,27658,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
215,27658,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
216,27661,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
217,27661,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
218,27661,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
219,27668,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
220,27668,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
221,27668,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
222,27675,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
223,27675,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
224,27675,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
225,27676,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
226,27676,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
227,27676,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
